year,size,surv,sizeNext,fec0,fec1,stage,stageNext,offspringNext,number,cloning,clonesNext
2015,,,7.3,0,,,continuous,,1,,
2015,21,1,21,0,,continuous,continuous,,1,,
2015,8.4,1,8.4,0,,continuous,continuous,,1,,
2015,22.6,1,22.6,1,1,continuous,continuous,,1,,
2015,10.7,1,10.7,0,,continuous,continuous,,1,,
2015,59.4,1,60.4,1,16,continuous,continuous,,1,,
2015,62.2,1,59.5,1,10,continuous,continuous,,1,,
2015,44.6,1,44,0,,continuous,continuous,,1,,
2015,37.6,1,36.7,0,,continuous,continuous,,1,,
2015,48.3,1,48.3,0,,continuous,continuous,,1,,
2015,9.7,1,9.7,0,,continuous,continuous,,1,,
2015,10.1,1,10.1,0,,continuous,continuous,,1,,
2015,11.2,1,11.2,0,,continuous,continuous,,1,,
2015,10.7,1,10.7,0,,continuous,continuous,,1,,
2015,11.5,1,11.5,0,,continuous,continuous,,1,,
2015,11,1,11,0,,continuous,continuous,,1,,
2015,10.6,1,10.6,0,,continuous,continuous,,1,,
2015,,,7,0,,,continuous,,1,,
2015,12.3,1,12.3,0,,continuous,continuous,,1,,
2015,27.5,1,25.4,0,,continuous,continuous,,1,,
2015,46.2,1,45.2,1,10,continuous,continuous,,1,,
2015,48,1,42.2,1,13,continuous,continuous,,1,,
2015,60.6,1,57.5,1,15,continuous,continuous,,1,,
2015,58,1,58,1,12,continuous,continuous,,1,,
2015,43.6,1,43.6,1,2,continuous,continuous,,1,,
2015,37.2,1,37.2,0,,continuous,continuous,,1,,
2015,33.6,1,33.6,0,,continuous,continuous,,1,,
2015,41.3,1,41.3,0,,continuous,continuous,,1,,
2015,35.4,1,35.4,0,,continuous,continuous,,1,,
2015,38.7,1,38.7,1,1,continuous,continuous,,1,,
2015,44.2,1,44.2,1,9,continuous,continuous,,1,,
2015,43.4,1,43.4,0,,continuous,continuous,,1,,
2015,36.4,1,36.4,0,,continuous,continuous,,1,,
2015,47,1,47,1,1,continuous,continuous,,1,,
2015,36,1,36,0,,continuous,continuous,,1,,
2015,27.7,1,27.7,0,,continuous,continuous,,1,,
2015,42.4,1,42.4,0,,continuous,continuous,,1,,
2015,,,5.8,0,,,continuous,,1,,
2015,,,4.2,0,,,continuous,,1,,
2015,26.5,1,26.5,0,,continuous,continuous,,1,,
2015,50.7,1,50.7,1,9,continuous,continuous,,1,,
2015,56.8,1,56.8,1,5,continuous,continuous,,1,,
2015,58.3,1,58.3,,,continuous,continuous,,1,,
2015,35,1,34.3,1,7,continuous,continuous,,1,,
2015,55,1,51.3,1,9,continuous,continuous,,1,,
2015,52,1,48.6,1,8,continuous,continuous,,1,,
2015,44.5,1,46.8,1,7,continuous,continuous,,1,,
2015,23.8,1,23.8,0,,continuous,continuous,,1,,
2015,26.5,1,26.5,1,7,continuous,continuous,,1,,
2015,44.2,1,44.2,1,6,continuous,continuous,,1,,
2015,27.4,1,27.4,0,,continuous,continuous,,1,,
2015,27.2,1,27.2,0,,continuous,continuous,,1,,
2015,17.4,1,17.4,0,,continuous,continuous,,1,,
2015,26.5,1,26.5,0,,continuous,continuous,,1,,
2015,42.2,1,42.2,1,9,continuous,continuous,,1,,
2015,44,1,44,1,10,continuous,continuous,,1,,
2015,37.2,1,37.2,0,,continuous,continuous,,1,,
2015,34,1,34,0,,continuous,continuous,,1,,
2015,34.5,1,34.5,1,2,continuous,continuous,,1,,
2015,,,5,0,,,continuous,,1,,
2015,,,4.1,0,,,continuous,,1,,
2015,17.6,1,17.6,0,,continuous,continuous,,1,,
2015,36,1,36,1,3,continuous,continuous,,1,,
2015,39.4,1,39.4,1,7,continuous,continuous,,1,,
2015,,,5.3,0,,,continuous,,1,,
2015,41.2,1,41.2,1,6,continuous,continuous,,1,,
2015,31.8,1,34,0,,continuous,continuous,,1,,
2015,61.7,1,59.2,1,9,continuous,continuous,,1,,
2015,22.2,1,26.8,0,,continuous,continuous,,1,,
2015,24.4,1,24.4,0,,continuous,continuous,,1,,
2015,77.7,1,75,1,18,continuous,continuous,,1,,
2015,67.8,1,66.5,1,14,continuous,continuous,,1,,
2015,67.7,1,67.2,1,11,continuous,continuous,,1,,
2015,12,1,14.5,0,,continuous,continuous,,1,,
2015,54,1,53.5,1,5,continuous,continuous,,1,,
2015,26.8,1,23.8,0,,continuous,continuous,,1,,
2015,22.3,1,21.4,0,,continuous,continuous,,1,,
2015,61.2,1,58.1,1,14,continuous,continuous,,1,,
2015,41.2,1,39.7,1,2,continuous,continuous,,1,,
2015,65.4,1,62.2,1,2,continuous,continuous,,1,,
2015,5,1,10,0,,continuous,continuous,,1,,
2015,44.5,1,42.2,1,1,continuous,continuous,,1,,
2015,60,1,58.4,1,3,continuous,continuous,,1,,
2015,77.3,1,77.5,1,16,continuous,continuous,,1,,
2015,65.7,1,67.7,1,17,continuous,continuous,,1,,
2015,63.5,1,66.3,1,13,continuous,continuous,,1,,
2015,61.4,1,57,1,9,continuous,continuous,,1,,
2015,74,1,67.5,1,26,continuous,continuous,,1,,
2015,49.5,1,46.5,1,5,continuous,continuous,,1,,
2015,35.6,1,31.7,1,7,continuous,continuous,,1,,
2015,57.3,1,57.3,0,,continuous,continuous,,1,,
2015,55.4,1,55.4,1,10,continuous,continuous,,1,,
2015,50.1,1,50.1,1,11,continuous,continuous,,1,,
2015,63.7,1,63.7,1,14,continuous,continuous,,1,,
2015,50.1,1,50.1,1,12,continuous,continuous,,1,,
2015,38.2,1,38.2,1,1,continuous,continuous,,1,,
2015,48.5,1,48.5,1,2,continuous,continuous,,1,,
2015,68.3,1,68.3,1,14,continuous,continuous,,1,,
2015,36.1,1,36.1,1,1,continuous,continuous,,1,,
2015,23.6,1,23.6,1,1,continuous,continuous,,1,,
2015,44.3,1,41.3,0,,continuous,continuous,,1,,
2015,13.5,1,13.5,0,,continuous,continuous,,1,,
2015,11.5,1,11.5,0,,continuous,continuous,,1,,
2015,43,1,43,0,,continuous,continuous,,1,,
2015,27,1,27,0,,continuous,continuous,,1,,
2015,13,1,13,0,,continuous,continuous,,1,,
2015,27.5,1,27.5,0,,continuous,continuous,,1,,
2015,25.2,1,25.2,0,,continuous,continuous,,1,,
2015,69,1,66.5,1,14,continuous,continuous,,1,,
2015,53,1,53.8,1,12,continuous,continuous,,1,,
2015,62.7,1,60.9,1,15,continuous,continuous,,1,,
2015,6.3,1,10,0,,continuous,continuous,,1,,
2015,12,1,12,0,,continuous,continuous,,1,,
2015,65.4,1,61,1,20,continuous,continuous,,1,,
2015,39.7,1,38.2,0,,continuous,continuous,,1,,
2015,59.9,1,56,1,14,continuous,continuous,,1,,
2015,44,1,42.5,0,,continuous,continuous,,1,,
2015,79.9,1,74.5,1,14,continuous,continuous,,1,,
2015,73.6,1,73.6,1,15,continuous,continuous,,1,,
2015,70,1,70,1,10,continuous,continuous,,1,,
2015,70.9,1,71.2,1,21,continuous,continuous,,1,,
2015,25.5,1,25.5,0,,continuous,continuous,,1,,
2015,22,1,22,0,,continuous,continuous,,1,,
2015,22.3,1,22.3,0,,continuous,continuous,,1,,
2015,23.4,1,23.4,0,,continuous,continuous,,1,,
2015,21,1,21,0,,continuous,continuous,,1,,
2015,67.4,1,65,1,14,continuous,continuous,,1,,
2015,67.4,1,65,0,,continuous,continuous,,1,,
2015,18.2,1,19,0,,continuous,continuous,,1,,
2015,55.4,1,52.8,1,12,continuous,continuous,,1,,
2015,64,1,60.5,1,27,continuous,continuous,,1,,
2015,43,1,46.7,1,6,continuous,continuous,,1,,
2015,78.2,1,72.3,1,26,continuous,continuous,,1,,
2015,50.2,1,47,1,3,continuous,continuous,,1,,
2015,61.6,1,58.1,1,3,continuous,continuous,,1,,
2015,53.3,1,52.5,1,1,continuous,continuous,,1,,
2015,56,1,54.5,1,14,continuous,continuous,,1,,
2015,43.4,1,49.2,0,,continuous,continuous,,1,,
2015,57,1,57,1,10,continuous,continuous,,1,,
2015,58.9,1,58.9,1,20,continuous,continuous,,1,,
2015,58.6,1,58.6,1,21,continuous,continuous,,1,,
2015,40.5,1,36,0,,continuous,continuous,,1,,
2015,39.6,1,36.7,0,,continuous,continuous,,1,,
2015,25.3,1,27.5,0,,continuous,continuous,,1,,
2015,48,1,56.6,1,9,continuous,continuous,,1,,
2015,,,8,0,,,continuous,,1,,
2015,,,6.5,0,,,continuous,,1,,
2015,69.6,1,70.3,1,8,continuous,continuous,,1,,
2015,26.2,1,34,0,,continuous,continuous,,1,,
2015,52.7,1,45,1,10,continuous,continuous,,1,,
2015,33.5,1,32,0,,continuous,continuous,,1,,
2015,56,1,56.2,1,19,continuous,continuous,,1,,
2015,32.3,1,32.3,0,,continuous,continuous,,1,,
2015,80.5,1,80.3,1,23,continuous,continuous,,1,,
2015,58,1,59,1,13,continuous,continuous,,1,,
2015,11.6,1,10.5,0,,continuous,continuous,,1,,
2015,49.2,1,49.8,1,11,continuous,continuous,,1,,
2015,26.4,1,26.8,0,,continuous,continuous,,1,,
2015,11.2,1,11.2,0,,continuous,continuous,,1,,
2015,37.2,1,34,0,,continuous,continuous,,1,,
2015,31,1,28,0,,continuous,continuous,,1,,
2015,10,1,7.6,0,,continuous,continuous,,1,,
2015,50.2,1,49,1,1,continuous,continuous,,1,,
2015,57.6,1,55.3,1,13,continuous,continuous,,1,,
2015,47.4,1,46,1,12,continuous,continuous,,1,,
2015,38,1,33,0,,continuous,continuous,,1,,
2015,56.8,1,55.1,1,9,continuous,continuous,,1,,
2015,64.2,1,63,1,15,continuous,continuous,,1,,
2015,16.8,1,16.8,0,,continuous,continuous,,1,,
2015,55,1,55,1,10,continuous,continuous,,1,,
2015,61,1,61,1,9,continuous,continuous,,1,,
2015,51.5,1,48.3,1,6,continuous,continuous,,1,,
2015,47,1,49.6,1,2,continuous,continuous,,1,,
2015,48.1,1,47,1,5,continuous,continuous,,1,,
2015,58,1,57.2,1,15,continuous,continuous,,1,,
2015,47.4,1,45.4,1,8,continuous,continuous,,1,,
2015,40.5,1,39,1,3,continuous,continuous,,1,,
2015,51.4,1,45.3,1,8,continuous,continuous,,1,,
2015,74.1,1,74,1,19,continuous,continuous,,1,,
