year,size,surv,sizeNext,fec0,fec1,stage,stageNext,offspringNext,number,cloning,clonesNext
2015,8.7,1,10.2,0,,continuos,continuos,,,,
2015,28,1,28,0,,continuos,continuos,,,,
2015,26.8,1,26.8,0,,continuos,continuos,,,,
2015,47.6,1,48.6,1,12,continuos,continuos,,,,
2015,16,1,15.1,0,,continuos,continuos,,,,
2015,33,1,33.7,1,10,continuos,continuos,,,,
2015,41.2,1,44.5,1,8,continuos,continuos,,,,
2015,4,1,7,0,,continuos,continuos,,,,
2015,11,1,14,0,,continuos,continuos,,,,
2015,23.4,1,23,0,,continuos,continuos,,,,
2015,38.2,1,39.2,1,9,continuos,continuos,,,,
2015,11,1,12,0,,continuos,continuos,,,,
2015,39.5,1,42,1,4,continuos,continuos,,,,
2015,44.5,1,45.4,1,1,continuos,continuos,,,,
2015,49.5,1,51.1,1,9,continuos,continuos,,,,
2015,55,1,54,1,10,continuos,continuos,,,,
2015,22.5,0,,0,,continuos,dead,,,,
2015,22.1,1,23.7,0,,continuos,continuos,,,,
2015,10,1,13,0,,continuos,continuos,,,,
2015,43,1,44,1,3,continuos,continuos,,,,
2015,53.3,1,53.4,1,7,continuos,continuos,,,,
2015,48.5,1,48,1,4,continuos,continuos,,,,
2015,48.6,1,49.9,1,5,continuos,continuos,,,,
2015,32.7,1,32.8,1,1,continuos,continuos,,,,
2015,43.5,1,43.7,1,11,continuos,continuos,,,,
2015,36.2,1,48.5,1,6,continuos,continuos,,,,
2015,49.3,0,,1,1,continuos,dead,,,,
2015,36.9,1,36.2,1,4,continuos,continuos,,,,
2015,14.2,1,14.2,0,,continuos,continuos,,,,
2015,12.2,1,12.2,0,,continuos,continuos,,,,
2015,24.3,1,24.3,0,,continuos,continuos,,,,
2015,44.6,1,44,0,,continuos,continuos,,,,
2015,31.9,1,33.2,1,8,continuos,continuos,,,,
2015,27,1,27,0,,continuos,continuos,,,,
2015,7.3,1,11,0,,continuos,continuos,,,,
2015,41.1,1,42.5,1,12,continuos,continuos,,,,
2015,6,1,7,0,,continuos,continuos,,,,
2015,30,1,30.1,1,1,continuos,continuos,,,,
2015,38,1,38.4,1,6,continuos,continuos,,,,
2015,22.5,1,24.5,0,,continuos,continuos,,,,
2015,17.3,1,16.5,0,,continuos,continuos,,,,
2015,34.6,1,34.6,0,,continuos,continuos,,,,
2015,47.3,1,47.3,1,3,continuos,continuos,,,,
2015,41.6,1,41.5,1,4,continuos,continuos,,,,
2015,20.1,1,20.3,0,,continuos,continuos,,,,
2015,37.3,1,38.5,0,,continuos,continuos,,,,
2015,45.4,1,45.3,1,3,continuos,continuos,,,,
2015,39.5,1,41.5,1,6,continuos,continuos,,,,
2015,26.9,1,27.2,0,,continuos,continuos,,,,
2015,24.3,1,25.3,0,,continuos,continuos,,,,
2015,51,1,45.7,1,1,continuos,continuos,,,,
2015,39.5,1,43,0,6,continuos,continuos,,,,
2015,44.7,1,45.7,0,2,continuos,continuos,,,,
2015,48.7,1,49.7,1,21,continuos,continuos,,,,
